,,DASE_C,,,,DASE_O,,,,AD_S,,,,POET_S,,,,NREL_S,,,,AD_N,,,,POET_N,,,,NREL_N,,,,CS_N,,,,GWC16,,,,GWC20,,,
,days,1P,2PS,2PP,3PP,1P.1,2PS.1,2PP.1,3PP.1,1P.2,2PS.2,2PP.2,3PP.2,1P.3,2PS.3,2PP.3,3PP.3,1P.4,2PS.4,2PP.4,3PP.4,1P.5,2PS.5,2PP.5,3PP.5,1P.6,2PS.6,2PP.6,3PP.6,1P.7,2PS.7,2PP.7,3PP.7,1P.8,2PS.8,2PP.8,3PP.8,1P.9,2PS.9,2PP.9,3PP.9,1P.10,2PS.10,2PP.10,3PP
137,9929,1199.218092,1472.603943,284.6220539,2724.908466,1198.987152,1472.724937,285.9777649,516.4419349,1202.893001,1375.838581,268.6350628,2025.425305,1208.099568,1233.555809,94.59704693,188.8958087,1280.328418,1495.876643,211.4181079,2955.731472,869.1836716,982.9603376,163.0945855,1457.741204,870.279619,894.789185,61.86065252,157.5201677,907.0769216,1016.094272,138.2938303,1591.074433,880.8700171,1338.448558,375.6345192,518.3277359,539.7367724,537.6335409,56.81127113,83.36427182,534.0069344,530.3524804,62.8791845,140.7694021
138,10002,1199.218188,1473.333757,284.6228961,2724.908467,1198.987297,1473.558795,285.9786002,516.4419349,1202.893002,1376.096829,268.6355432,2025.425484,1208.135558,1234.420483,94.59778511,188.8958091,1280.328427,1495.88771,211.4188664,2955.731472,869.1836958,983.2819103,163.0951996,1457.741206,870.3563046,895.318547,61.86128618,157.5201677,907.0769574,1016.099319,138.2943734,1591.074433,880.8700172,1338.448559,375.6355957,518.3277359,539.7871849,537.7989822,56.81140127,83.36433886,534.0554557,530.5348709,62.87929565,140.7694122
139,10075,1199.218275,1474.04397,284.6237383,2724.908467,1198.987428,1474.371337,285.9794356,516.4419349,1202.893003,1376.345733,268.6360236,2025.425663,1208.169617,1235.262876,94.59852329,188.8958094,1280.328435,1495.898082,211.4196248,2955.731472,869.1837174,983.5933486,163.0958137,1457.741208,870.4295548,895.8333594,61.86191984,157.5201677,907.0769895,1016.10403,138.2949166,1591.074433,880.8700173,1338.448559,375.6366723,518.3277359,539.8353633,537.9588096,56.81153141,83.3644059,534.1018157,530.7112543,62.87940681,140.7694223
140,10148,1199.218353,1474.735109,284.6245805,2724.908467,1198.987547,1475.163109,285.980271,516.4419349,1202.893004,1376.585631,268.6365041,2025.425842,1208.201851,1236.083563,94.59926147,188.8958097,1280.328441,1495.907802,211.4203832,2955.731472,869.1837367,983.8949721,163.0964279,1457.74121,870.4995236,896.3340223,61.8625535,157.5201677,907.0770183,1016.108429,138.2954597,1591.074433,880.8700173,1338.448559,375.6377489,518.3277359,539.8814069,538.1132136,56.81166155,83.36447294,534.1461107,530.8818284,62.87951796,140.7694324
141,10221,1199.218424,1475.407686,284.6254228,2724.908468,1198.987654,1475.934642,285.9811063,516.4419349,1202.893004,1376.816849,268.6369845,2025.426021,1208.232355,1236.883101,94.59999965,188.89581,1280.328447,1495.916911,211.4211416,2955.731472,869.183754,984.1870898,163.097042,1457.741212,870.5663578,896.8209245,61.86318716,157.5201677,907.0770441,1016.112535,138.2960028,1591.074433,880.8700174,1338.448559,375.6388254,518.3277359,539.92541,538.2623783,56.81179169,83.36453998,534.1884327,531.0467846,62.87962911,140.7694425
142,10294,1199.218488,1476.0622,284.626265,2724.908468,1198.987751,1476.686452,285.9819417,516.4419349,1202.893005,1377.039701,268.6374649,2025.426199,1208.261224,1237.662037,94.60073782,188.8958104,1280.328453,1495.925447,211.4219001,2955.731472,869.1837695,984.4700016,163.0976562,1457.741214,870.6301981,897.2944442,61.86382082,157.5201677,907.0770673,1016.116369,138.2965459,1591.074433,880.8700174,1338.448559,375.639902,518.3277359,539.9674633,538.4064814,56.81192182,83.36460702,534.2288695,531.2063079,62.87974026,140.7694526
143,10367,1199.218545,1476.699135,284.6271072,2724.908468,1198.98784,1477.419045,285.9827771,516.4419349,1202.893005,1377.254489,268.6379454,2025.426378,1208.288545,1238.420902,94.601476,188.8958107,1280.328457,1495.933447,211.4226585,2955.731472,869.1837834,984.7439974,163.0982703,1457.741216,870.6911784,897.7549493,61.86445448,157.5201677,907.077088,1016.119949,138.297089,1591.074433,880.8700175,1338.44856,375.6409785,518.3277359,540.007653,538.5456946,56.81205196,83.36467406,534.2675052,531.3605773,62.87985142,140.7694627
144,10440,1199.218597,1477.318964,284.6279494,2724.908468,1198.987919,1478.132911,285.9836124,516.4419349,1202.893006,1377.461506,268.6384258,2025.426557,1208.3144,1239.160212,94.60221418,188.895811,1280.328461,1495.940945,211.4234169,2955.731472,869.1837958,985.0093582,163.0988845,1457.741217,870.7494269,898.2027974,61.86508814,157.5201677,907.0771067,1016.12329,138.2976321,1591.074433,880.8700175,1338.44856,375.6420551,518.3277359,540.0460618,538.680184,56.8121821,83.3647411,534.3044199,531.5097657,62.87996257,140.7694728
145,10513,1199.218644,1477.922146,284.6287916,2724.908469,1198.987991,1478.828529,285.9844478,516.4419349,1202.893006,1377.661032,268.6389062,2025.426736,1208.338869,1239.880471,94.60295235,188.8958113,1280.328464,1495.947971,211.4241753,2955.731472,869.1838068,985.2663562,163.0994986,1457.741219,870.8050659,898.6383364,61.8657218,157.5201677,907.0771234,1016.12641,138.2981752,1591.074433,880.8700175,1338.44856,375.6431316,518.3277359,540.0827685,538.8101098,56.81231224,83.36480814,534.3396903,531.6540406,62.88007372,140.7694829
146,10586,1199.218686,1478.509129,284.6296338,2724.908469,1198.988057,1479.506366,285.9852832,516.4419349,1202.893007,1377.853339,268.6393866,2025.426914,1208.362026,1240.58217,94.60369053,188.8958117,1280.328467,1495.954555,211.4249337,2955.731472,869.1838167,985.515255,163.1001128,1457.741221,870.8582125,899.0619046,61.86635546,157.5201677,907.0771384,1016.129323,138.2987183,1591.074433,880.8700175,1338.44856,375.6442082,518.3277359,540.1178487,538.9356268,56.81244238,83.36487519,534.3733897,531.7935639,62.88018487,140.769493
147,10659,1199.218724,1479.080347,284.630476,2724.908469,1198.988116,1480.166875,285.9861185,516.4419349,1202.893007,1378.038688,268.6398671,2025.427093,1208.383941,1241.265788,94.60442871,188.895812,1280.32847,1495.960726,211.4256922,2955.731472,869.1838256,985.7563098,163.1007269,1457.741223,870.9089782,899.4738311,61.86698912,157.5201678,907.0771519,1016.132043,138.2992614,1591.074433,880.8700176,1338.44856,375.6452847,518.3277359,540.1513743,539.0568847,56.81257251,83.36494223,534.405588,531.928492,62.88029602,140.7695031
148,10732,1199.218758,1479.636224,284.6313183,2724.908469,1198.988169,1480.810501,285.9869539,516.4419349,1202.893007,1378.217331,268.6403475,2025.427272,1208.40468,1241.93179,94.60516688,188.8958123,1280.328472,1495.966508,211.4264506,2955.731472,869.1838336,985.9897677,163.1013411,1457.741225,870.9574696,899.8744358,61.86762277,157.5201678,907.077164,1016.134581,138.2998045,1591.074433,880.8700176,1338.44856,375.6463612,518.3277359,540.1834143,539.174028,56.81270265,83.36500927,534.4363521,532.0589761,62.88040718,140.7695132
149,10805,1199.218789,1480.177172,284.6321605,2724.90847,1198.988217,1481.437674,285.9877893,516.4419349,1202.893007,1378.389509,268.6408279,2025.427451,1208.424308,1242.580631,94.60590506,188.8958127,1280.328475,1495.971928,211.427209,2955.731472,869.1838406,986.2158682,163.1019552,1457.741227,871.0037888,900.2640299,61.86825643,157.5201678,907.0771748,1016.136952,138.3003476,1591.074433,880.8700176,1338.44856,375.6474378,518.3277359,540.2140345,539.2871963,56.81283279,83.36507631,534.4657459,532.1851625,62.88051833,140.7695233
150,10878,1199.218817,1480.703591,284.6330027,2724.90847,1198.988261,1482.048815,285.9886246,516.4419349,1202.893007,1378.555458,268.6413084,2025.427629,1208.442882,1243.212752,94.60664323,188.895813,1280.328476,1495.977007,211.4279674,2955.731472,869.183847,986.4348432,163.1025693,1457.741229,871.0480329,900.6429161,61.86889009,157.5201678,907.0771845,1016.139165,138.3008907,1591.074433,880.8700176,1338.44856,375.6485143,518.3277359,540.2432978,539.3965245,56.81296293,83.36514335,534.4938304,532.307193,62.88062948,140.7695334
151,10951,1199.218843,1481.215872,284.6338449,2724.90847,1198.988301,1482.644334,285.98946,516.4419349,1202.893008,1378.715403,268.6417888,2025.427808,1208.460461,1243.828585,94.6073814,188.8958133,1280.328478,1495.981766,211.4287259,2955.731472,869.1838527,986.6469172,163.1031835,1457.741231,871.090295,901.0113885,61.86952374,157.5201678,907.0771932,1016.141231,138.3014339,1591.074433,880.8700176,1338.44856,375.6495908,518.3277359,540.2712644,539.5021428,56.81309306,83.36521039,534.5206639,532.4252043,62.88074063,140.7695435
152,11024,1199.218865,1481.714395,284.6346871,2724.908471,1198.988337,1483.224631,285.9902953,516.4419349,1202.893008,1378.86956,268.6422692,2025.427987,1208.477097,1244.428548,94.60811958,188.8958136,1280.32848,1495.986227,211.4294843,2955.731472,869.1838578,986.8523078,163.1037976,1457.741233,871.1306638,901.3697336,61.8701574,157.5201678,907.077201,1016.14316,138.301977,1591.074433,880.8700176,1338.44856,375.6506674,518.3277359,540.2979916,539.6041773,56.8132232,83.36527743,534.5463022,532.539329,62.88085179,140.7695536
153,11097,1199.218886,1482.19953,284.6355293,2724.908471,1198.988369,1483.790094,285.9911307,516.4419349,1202.893008,1379.018139,268.6427497,2025.428166,1208.492841,1245.013052,94.60885775,188.895814,1280.328481,1495.990407,211.4302427,2955.731472,869.1838623,987.0512254,163.1044118,1457.741235,871.1692241,901.7182295,61.87079105,157.5201678,907.0772081,1016.144961,138.3025201,1591.074433,880.8700176,1338.44856,375.6517439,518.3277359,540.3235345,539.7027494,56.81335334,83.36534447,534.5707985,532.649695,62.88096294,140.7695637
154,11170,1199.218904,1482.671635,284.6363715,2724.908471,1198.988399,1484.341102,285.9919661,516.4419349,1202.893008,1379.161343,268.6432301,2025.428345,1208.507741,1245.582494,94.60959592,188.8958143,1280.328482,1495.994324,211.4310011,2955.731472,869.1838664,987.2438743,163.1050259,1457.741237,871.2060571,902.0571471,61.87142471,157.5201678,907.0772144,1016.146642,138.3030632,1591.074433,880.8700177,1338.44856,375.6528204,518.3277359,540.3479455,539.7979767,56.81348348,83.36541151,534.5942036,532.7564261,62.88107409,140.7695738
155,11243,1199.218921,1483.13106,284.6372137,2724.908471,1198.988425,1484.878025,285.9928014,516.4419349,1202.893008,1379.299365,268.6437105,2025.428523,1208.521841,1246.137263,94.61033409,188.8958146,1280.328483,1495.997995,211.4317595,2955.731472,869.18387,987.4304518,163.10564,1457.741239,871.24124,902.3867495,61.87205836,157.5201678,907.07722,1016.148212,138.3036063,1591.074433,880.8700177,1338.44856,375.6538969,518.3277359,540.3712748,539.8899727,56.81361362,83.36547855,534.6165662,532.859642,62.88118524,140.7695839
156,11316,1199.218936,1483.578147,284.6380559,2724.908472,1198.988449,1485.401224,285.9936368,516.4419349,1202.893008,1379.432393,268.6441909,2025.428702,1208.535185,1246.677736,94.61107226,188.895815,1280.328484,1496.001436,211.4325179,2955.731472,869.1838733,987.6111493,163.1062542,1457.741241,871.2748467,902.7072928,61.87269201,157.5201678,907.0772251,1016.149677,138.3041494,1591.074433,880.8700177,1338.44856,375.6549735,518.3277359,540.3935702,539.978847,56.81374375,83.36554559,534.6379328,532.9594585,62.88129639,140.769594
157,11389,1199.21895,1484.013226,284.6388981,2724.908472,1198.988471,1485.911048,285.9944721,516.4419349,1202.893008,1379.560608,268.6446714,2025.428881,1208.547814,1247.204282,94.61181043,188.8958153,1280.328485,1496.00466,211.4332764,2955.731472,869.1838761,987.7861522,163.1068683,1457.741243,871.306948,903.019026,61.87332567,157.5201678,907.0772296,1016.151045,138.3046925,1591.074433,880.8700177,1338.44856,375.65605,518.3277359,540.4148777,540.0647055,56.81387389,83.36561263,534.6583476,533.0559874,62.88140755,140.7696041
158,11462,1199.218962,1484.436621,284.6397403,2724.908472,1198.988491,1486.40784,285.9953075,516.4419349,1202.893008,1379.684183,268.6451518,2025.42906,1208.559766,1247.717261,94.6125486,188.8958156,1280.328485,1496.007682,211.4340348,2955.731472,869.1838785,987.9556398,163.1074825,1457.741245,871.3376111,903.3221912,61.87395932,157.5201678,907.0772337,1016.152322,138.3052356,1591.074433,880.8700177,1338.44856,375.6571265,518.3277359,540.4352409,540.1476506,56.81400403,83.36567967,534.677853,533.1493372,62.8815187,140.7696142
159,11535,1199.218973,1484.848644,284.6405825,2724.908472,1198.988509,1486.891934,285.9961428,516.4419349,1202.893008,1379.803287,268.6456322,2025.429238,1208.571076,1248.21702,94.61328677,188.8958159,1280.328486,1496.010513,211.4347932,2955.731472,869.1838807,988.1197861,163.1080966,1457.741247,871.3669006,903.6170239,61.87459297,157.5201678,907.0772374,1016.153515,138.3057787,1591.074433,880.8700177,1338.44856,375.658203,518.3277359,540.4547018,540.2277812,56.81413417,83.36574671,534.6964896,533.2396125,62.88162985,140.7696243
160,11608,1199.218983,1485.249602,284.6414247,2724.908473,1198.988525,1487.363652,285.9969782,516.4419349,1202.893008,1379.918082,268.6461126,2025.429417,1208.58178,1248.703902,94.61402494,188.8958163,1280.328487,1496.013167,211.4355516,2955.731472,869.1838827,988.2787593,163.1087107,1457.741249,871.394878,903.9037532,61.87522662,157.5201678,907.0772405,1016.154628,138.3063218,1591.074433,880.8700177,1338.44856,375.6592795,518.3277359,540.4733003,540.3051927,56.8142643,83.36581376,534.7142961,533.3269145,62.881741,140.7696344
161,11681,1199.218992,1485.639791,284.6422669,2724.908473,1198.988539,1487.823313,285.9978136,516.4419349,1202.893008,1380.028723,268.6465931,2025.429596,1208.59191,1249.178238,94.61476311,188.8958166,1280.328487,1496.015654,211.43631,2955.731472,869.1838845,988.4327225,163.1093249,1457.741251,871.4216021,904.1826018,61.87586027,157.5201678,907.0772433,1016.155668,138.3068649,1591.074433,880.8700177,1338.44856,375.660356,518.3277359,540.4910747,540.3799775,56.81439444,83.3658808,534.7313095,533.4113413,62.88185215,140.7696445
162,11754,1199.219,1486.0195,284.6431091,2724.908473,1198.988552,1488.271223,285.9986489,516.4419349,1202.893008,1380.135361,268.6470735,2025.429775,1208.601497,1249.640351,94.61550128,188.8958169,1280.328487,1496.017985,211.4370684,2955.731472,869.1838861,988.5818336,163.109939,1457.741252,871.447129,904.4537862,61.87649392,157.5201678,907.0772458,1016.156638,138.307408,1591.074433,880.8700177,1338.44856,375.6614325,518.3277359,540.5080614,540.4522245,56.81452458,83.36594784,534.747565,533.4929873,62.8819633,140.7696545
163,11827,1199.219007,1486.389012,284.6439513,2724.908474,1198.988564,1488.707684,285.9994843,516.4419349,1202.893008,1380.238141,268.6475539,2025.429953,1208.61057,1250.090556,94.61623945,188.8958172,1280.328488,1496.020169,211.4378268,2955.731472,869.1838875,988.7262455,163.1105531,1457.741254,871.4715123,904.7175171,61.87712757,157.5201678,907.077248,1016.157544,138.3079511,1591.074433,880.8700177,1338.44856,375.6625091,518.3277359,540.5242954,540.5220201,56.81465472,83.36601488,534.7630965,533.5719443,62.88207446,140.7696646
164,11900,1199.219014,1486.7486,284.6447935,2724.908474,1198.988575,1489.132989,286.0003196,516.4419349,1202.893008,1380.337201,268.6480344,2025.430132,1208.619156,1250.52916,94.61697761,188.8958176,1280.328488,1496.022216,211.4385853,2955.731472,869.1838887,988.8661062,163.1111673,1457.741256,871.4948032,904.9739994,61.87776122,157.5201678,907.0772501,1016.15839,138.3084942,1591.074433,880.8700177,1338.44856,375.6635856,518.3277359,540.5398099,540.5894473,56.81478485,83.36608192,534.7779361,533.648301,62.88218561,140.7696747
165,11973,1199.21902,1487.098531,284.6456357,2724.908474,1198.988585,1489.547421,286.001155,516.4419349,1202.893009,1380.432678,268.6485148,2025.430311,1208.627281,1250.956462,94.61771578,188.8958179,1280.328488,1496.024134,211.4393437,2955.731472,869.1838899,989.0015592,163.1117814,1457.741258,871.5170508,905.2234323,61.87839487,157.5201678,907.0772519,1016.15918,138.3090373,1591.074433,880.8700177,1338.44856,375.6646621,518.3277359,540.554637,540.6545864,56.81491499,83.36614896,534.7921147,533.7221427,62.88229676,140.7696848
166,12046,1199.219025,1487.439063,284.6464779,2724.908474,1198.988594,1489.95126,286.0019903,516.4419349,1202.893009,1380.5247,268.6489952,2025.43049,1208.634971,1251.372753,94.61845395,188.8958182,1280.328489,1496.025931,211.4401021,2955.731472,869.1838909,989.1327435,163.1123956,1457.74126,871.5383018,905.4660095,61.87902852,157.5201678,907.0772535,1016.159917,138.3095804,1591.074433,880.8700177,1338.44856,375.6657386,518.3277359,540.5688071,540.7175153,56.81504513,83.366216,534.8056618,533.7935523,62.88240791,140.7696949
167,12119,1199.21903,1487.77045,284.6473201,2724.908475,1198.988602,1490.344776,286.0028257,516.4419349,1202.893009,1380.613392,268.6494756,2025.430669,1208.642249,1251.778318,94.61919211,188.8958186,1280.328489,1496.027616,211.4408605,2955.731472,869.1838918,989.2597935,163.1130097,1457.741262,871.5586007,905.7019195,61.87966217,157.5201678,907.0772549,1016.160605,138.3101235,1591.074433,880.8700177,1338.44856,375.6668151,518.3277359,540.5823492,540.7783088,56.81517527,83.36628304,534.8186055,533.8626103,62.88251906,140.769705
168,12192,1199.219035,1488.092936,284.6481623,2724.908475,1198.988609,1490.728232,286.003661,516.4419349,1202.893009,1380.698875,268.6499561,2025.430847,1208.649136,1252.173431,94.61993028,188.8958189,1280.328489,1496.029195,211.4416189,2955.731472,869.1838926,989.3828395,163.1136238,1457.741264,871.5779903,905.9313455,61.88029581,157.5201678,907.0772562,1016.161248,138.3106666,1591.074433,880.8700177,1338.44856,375.6678915,518.3277359,540.5952912,540.8370394,56.8153054,83.36635008,534.8309726,533.9293937,62.88263022,140.7697151
169,12265,1199.219038,1488.406762,284.6490045,2724.908475,1198.988616,1491.101887,286.0044964,516.4419349,1202.893009,1380.781265,268.6504365,2025.431026,1208.655654,1252.558364,94.62066844,188.8958192,1280.328489,1496.030675,211.4423773,2955.731472,869.1838933,989.5020078,163.114238,1457.741266,871.5965113,906.1544658,61.88092946,157.5201678,907.0772574,1016.161848,138.3112097,1591.074433,880.8700177,1338.44856,375.668968,518.3277359,540.6076597,540.8937771,56.81543554,83.36641712,534.8427888,533.9939777,62.88274137,140.7697252
170,12338,1199.219042,1488.712159,284.6498467,2724.908475,1198.988622,1491.46599,286.0053317,516.4419349,1202.893009,1380.860674,268.6509169,2025.431205,1208.661822,1252.933377,94.62140661,188.8958195,1280.32849,1496.032061,211.4431357,2955.731472,869.183894,989.6174204,163.1148521,1457.741268,871.6142025,906.3714536,61.88156311,157.5201678,907.0772585,1016.162408,138.3117528,1591.074433,880.8700177,1338.44856,375.6700445,518.3277359,540.6194801,540.9485895,56.81556568,83.36648416,534.8540787,534.0564345,62.88285252,140.7697353
171,12411,1199.219045,1489.009354,284.6506889,2724.908476,1198.988627,1491.820786,286.0061671,516.4419349,1202.893009,1380.93721,268.6513973,2025.431384,1208.66766,1253.298727,94.62214477,188.8958199,1280.32849,1496.033361,211.4438941,2955.731472,869.1838945,989.7291959,163.1154662,1457.74127,871.6311013,906.5824776,61.88219675,157.5201678,907.0772594,1016.162931,138.3122959,1591.074433,880.8700177,1338.44856,375.671121,518.3277359,540.6307768,541.001542,56.81569581,83.3665512,534.8648658,534.1168343,62.88296367,140.7697454
172,12484,1199.219048,1489.298567,284.6515311,2724.908476,1198.988632,1492.166513,286.0070024,516.4419349,1202.893009,1381.010976,268.6518778,2025.431562,1208.673184,1253.654662,94.62288293,188.8958202,1280.32849,1496.034578,211.4446525,2955.731472,869.183895,989.8374487,163.1160804,1457.741272,871.647243,906.7877015,61.8828304,157.5201678,907.0772602,1016.163419,138.312839,1591.074433,880.8700177,1338.44856,375.6721975,518.3277359,540.6415728,541.0526977,56.81582595,83.36661824,534.8751723,534.1752448,62.88307482,140.7697555
173,12557,1199.219051,1489.580013,284.6523733,2724.908476,1198.988636,1492.503402,286.0078378,516.4419349,1202.893009,1381.082074,268.6523582,2025.431741,1208.678412,1254.001426,94.6236211,188.8958205,1280.32849,1496.03572,211.4454109,2955.731472,869.1838955,989.94229,163.1166945,1457.741274,871.6626615,906.9872849,61.88346404,157.5201679,907.077261,1016.163875,138.3133821,1591.074433,880.8700177,1338.44856,375.673274,518.3277359,540.6518904,541.1021175,56.81595609,83.36668528,534.8850197,534.2317316,62.88318597,140.7697656
174,12630,1199.219053,1489.8539,284.6532155,2724.908477,1198.98864,1492.831679,286.0086731,516.4419349,1202.893009,1381.150599,268.6528386,2025.43192,1208.68336,1254.339254,94.62435926,188.8958209,1280.32849,1496.036789,211.4461694,2955.731472,869.1838959,990.0438272,163.1173086,1457.741276,871.6773894,907.1813827,61.88409769,157.5201679,907.0772617,1016.164301,138.3139252,1591.074433,880.8700177,1338.44856,375.6743505,518.3277359,540.6617508,541.1498603,56.81608623,83.36675232,534.8944286,534.2863579,62.88329712,140.7697757
175,12703,1199.219055,1490.120432,284.6540577,2724.908477,1198.988644,1493.151565,286.0095084,516.4419349,1202.893009,1381.216645,268.653319,2025.432099,1208.688043,1254.668377,94.62509742,188.8958212,1280.32849,1496.037792,211.4469278,2955.731472,869.1838963,990.1421645,163.1179227,1457.741278,871.6914575,907.3701458,61.88473133,157.5201679,907.0772623,1016.164698,138.3144683,1591.074433,880.8700177,1338.44856,375.6754269,518.3277359,540.6711743,541.1959832,56.81621636,83.36681936,534.9034183,534.3391852,62.88340828,140.7697858
176,12776,1199.219057,1490.379805,284.6548999,2724.908477,1198.988647,1493.463274,286.0103438,516.4419349,1202.893009,1381.2803,268.6537995,2025.432277,1208.692474,1254.989019,94.62583558,188.8958215,1280.32849,1496.038731,211.4476862,2955.731472,869.1838966,990.2374027,163.1185369,1457.74128,871.7048953,907.5537207,61.88536498,157.5201679,907.0772628,1016.165069,138.3150114,1591.074433,880.8700177,1338.44856,375.6765034,518.3277359,540.6801802,541.2405409,56.8163465,83.3668864,534.9120076,534.3902726,62.88351943,140.7697959
177,12849,1199.219059,1490.632212,284.6557421,2724.908477,1198.98865,1493.767015,286.0111791,516.4419349,1202.893009,1381.341653,268.6542799,2025.432456,1208.696668,1255.301399,94.62657374,188.8958218,1280.32849,1496.039611,211.4484446,2955.731472,869.1838969,990.3296395,163.119151,1457.741282,871.7177312,907.7322501,61.88599862,157.5201679,907.0772633,1016.165415,138.3155545,1591.074433,880.8700177,1338.44856,375.6775799,518.3277359,540.688787,541.2835867,56.81647664,83.36695344,534.9202143,534.4396774,62.88363058,140.769806
178,12922,1199.21906,1490.87784,284.6565843,2724.908478,1198.988653,1494.062992,286.0120145,516.4419349,1202.893009,1381.400786,268.6547603,2025.432635,1208.700637,1255.605729,94.6273119,188.8958222,1280.32849,1496.040436,211.449203,2955.731472,869.1838972,990.4189694,163.1197651,1457.741284,871.729992,907.9058726,61.88663226,157.5201679,907.0772638,1016.165738,138.3160976,1591.074433,880.8700177,1338.44856,375.6786564,518.3277359,540.6970124,541.3251718,56.81660677,83.36702049,534.9280554,534.487455,62.88374173,140.7698161
179,12995,1199.219062,1491.116871,284.6574265,2724.908478,1198.988655,1494.351403,286.0128498,516.4419349,1202.893009,1381.457779,268.6552407,2025.432814,1208.704393,1255.902218,94.62805006,188.8958225,1280.32849,1496.041209,211.4499614,2955.731472,869.1838974,990.5054842,163.1203793,1457.741285,871.7417036,908.0747231,61.8872659,157.5201679,907.0772641,1016.16604,138.3166407,1591.074433,880.8700177,1338.44856,375.6797328,518.3277359,540.7048733,541.3653458,56.81673691,83.36708753,534.9355473,534.5336592,62.88385288,140.7698262
180,13068,1199.219063,1491.349483,284.6582687,2724.908478,1198.988657,1494.632442,286.0136852,516.4419349,1202.893009,1381.51271,268.6557211,2025.432993,1208.707947,1256.191066,94.62878822,188.8958228,1280.32849,1496.041934,211.4507198,2955.731472,869.1838976,990.5892724,163.1209934,1457.741287,871.7528905,908.2389328,61.88789954,157.5201679,907.0772645,1016.166322,138.3171838,1591.074433,880.8700177,1338.44856,375.6808093,518.3277359,540.7123858,541.4041566,56.81686705,83.36715457,534.9427055,534.5783415,62.88396403,140.7698363
181,13141,1199.219064,1491.575847,284.6591109,2724.908478,1198.988659,1494.906297,286.0145205,516.4419349,1202.893009,1381.565654,268.6562016,2025.433171,1208.711311,1256.472471,94.62952638,188.8958231,1280.32849,1496.042613,211.4514782,2955.731472,869.1838978,990.67042,163.1216075,1457.741289,871.7635763,908.3986292,61.88853319,157.5201679,907.0772648,1016.166585,138.3177269,1591.074433,880.8700177,1338.44856,375.6818858,518.3277359,540.7195655,541.4416505,56.81699718,83.36722161,534.9495448,534.6215523,62.88407518,140.7698464
182,13214,1199.219065,1491.796132,284.659953,2724.908479,1198.988661,1495.173151,286.0153558,516.4419349,1202.893009,1381.616681,268.656682,2025.43335,1208.714495,1256.746625,94.63026454,188.8958235,1280.32849,1496.043249,211.4522366,2955.731472,869.183898,990.7490103,163.1222216,1457.741291,871.7737833,908.5539363,61.88916683,157.5201679,907.0772651,1016.166831,138.3182699,1591.074433,880.8700177,1338.44856,375.6829622,518.3277359,540.726427,541.477872,56.81712732,83.36728865,534.9560795,534.6633399,62.88418634,140.7698565
183,13287,1199.219066,1492.010501,284.6607952,2724.908479,1198.988662,1495.433184,286.0161912,516.4419349,1202.893009,1381.665863,268.6571624,2025.433529,1208.717508,1257.013714,94.6310027,188.8958238,1280.328491,1496.043845,211.452995,2955.731472,869.1838982,990.8251238,163.1228358,1457.741293,871.7835331,908.7049748,61.88980047,157.5201679,907.0772654,1016.16706,138.318813,1591.074433,880.8700177,1338.44856,375.6840387,518.3277359,540.7329844,541.5128645,56.81725746,83.36735569,534.9623231,534.7037511,62.88429749,140.7698666
184,13360,1199.219067,1492.219112,284.6616374,2724.908479,1198.988663,1495.68657,286.0170265,516.4419349,1202.893009,1381.713265,268.6576428,2025.433708,1208.720359,1257.273921,94.63174086,188.8958241,1280.328491,1496.044404,211.4537534,2955.731472,869.1838983,990.8988386,163.1234499,1457.741295,871.7928462,908.851862,61.89043411,157.5201679,907.0772656,1016.167274,138.3193561,1591.074433,880.8700177,1338.44856,375.6851151,518.3277359,540.7392513,541.5466696,56.81738759,83.36742273,534.9682886,534.7428315,62.88440864,140.7698767
185,13433,1199.219068,1492.422121,284.6624796,2724.90848,1198.988665,1495.933479,286.0178619,516.4419349,1202.893009,1381.758952,268.6581233,2025.433886,1208.723057,1257.527423,94.63247901,188.8958245,1280.328491,1496.044928,211.4545118,2955.731472,869.1838984,990.9702303,163.124064,1457.741297,871.801742,908.9947121,61.89106774,157.5201679,907.0772658,1016.167474,138.3198992,1591.074433,880.8700177,1338.44856,375.6861916,518.3277359,540.7452404,541.5793276,56.81751773,83.36748977,534.9739884,534.7806249,62.88451979,140.7698868
186,13506,1199.219068,1492.619678,284.6633218,2724.90848,1198.988666,1496.174076,286.0186972,516.4419349,1202.893009,1381.802986,268.6586037,2025.434065,1208.725611,1257.774393,94.63321717,188.8958248,1280.328491,1496.045419,211.4552702,2955.731472,869.1838985,991.0393721,163.1246781,1457.741299,871.8102393,909.1336359,61.89170138,157.5201679,907.077266,1016.167661,138.3204423,1591.074433,880.8700177,1338.44856,375.687268,518.3277359,540.7509642,541.6108774,56.81764787,83.36755681,534.9794343,534.8171734,62.88463094,140.7698969
187,13579,1199.219069,1492.811928,284.664164,2724.90848,1198.988667,1496.408523,286.0195325,516.4419349,1202.893009,1381.845426,268.6590841,2025.434244,1208.728028,1258.014999,94.63395533,188.8958251,1280.328491,1496.045879,211.4560286,2955.731472,869.1838986,991.1063349,163.1252923,1457.741301,871.8183559,909.2687414,61.89233502,157.5201679,907.0772661,1016.167835,138.3209854,1591.074433,880.8700177,1338.44856,375.6883445,518.3277359,540.7564343,541.6413566,56.817778,83.36762385,534.9846376,534.8525183,62.88474209,140.769907
