,,DASE_C,,,,DASE_O,,,,AD_S,,,,POET_S,,,,NREL_S,,,,AD_N,,,,POET_N,,,,NREL_N,,,,CS_N,,,,GWC16,,,,GWC20,,,
,days,1P,2PS,2PP,3PP,1P.1,2PS.1,2PP.1,3PP.1,1P.2,2PS.2,2PP.2,3PP.2,1P.3,2PS.3,2PP.3,3PP.3,1P.4,2PS.4,2PP.4,3PP.4,1P.5,2PS.5,2PP.5,3PP.5,1P.6,2PS.6,2PP.6,3PP.6,1P.7,2PS.7,2PP.7,3PP.7,1P.8,2PS.8,2PP.8,3PP.8,1P.9,2PS.9,2PP.9,3PP.9,1P.10,2PS.10,2PP.10,3PP
10,658,724.8364085,637.3576186,284.5156977,2724.913669,710.6706322,630.9309935,285.8722775,515.1380947,857.3394346,613.4905111,268.5745186,2025.406425,472.7279349,343.148128,94.50335095,188.8700744,855.0939436,826.3002086,211.3220811,2955.730034,550.2106385,397.5586801,163.0168798,1457.74406,294.7351176,250.5758942,61.78012014,157.0994407,565.8696103,548.6171661,138.224828,1590.971559,661.4266496,1103.257888,367.683269,473.9861886,181.17822,151.5863636,56.57423789,77.95839458,180.010969,146.4155604,62.28870252,109.8087885
11,731,771.285229,660.51862,284.5158496,2724.906869,757.0551212,653.2819152,285.8724222,515.6343441,902.0601217,641.3316413,268.5743766,2025.401681,512.2000534,366.9567103,94.50401098,188.8851923,904.1096804,868.3925888,211.3224724,2955.727717,583.8316701,416.3286389,163.0171406,1457.740553,320.595131,268.8112743,61.78079147,157.2837144,600.994987,579.6573507,138.2253443,1591.026444,692.8272057,1135.193561,370.4168303,484.495317,197.1175929,164.8514222,56.67588614,79.32243697,195.8275002,159.2429425,62.52295373,114.4778289
12,804,813.1860564,683.0590394,284.5167855,2724.908715,799.0336331,675.0628065,285.8733502,515.9423968,940.9931669,668.1664451,268.5750282,2025.403174,549.5553814,390.1521254,94.50476875,188.8915219,947.4754947,907.8404432,211.3233095,2955.73103,613.9089128,434.5077038,163.0178271,1457.741109,345.2966638,286.5456542,61.78143708,157.3873871,632.5044064,608.6372187,138.2259209,1591.053596,719.734501,1162.793676,372.1950033,492.5137859,212.3506376,177.6663891,56.7308166,80.34176931,210.9395171,171.647856,62.66210638,118.4427347
13,877,850.9841969,704.993676,284.5176065,2724.908372,837.0246811,696.2865567,285.8741697,516.1327172,974.8876017,694.0300097,268.5754933,2025.403093,584.9074375,412.7497482,94.50550933,188.8940337,985.8426459,944.8086853,211.3240487,2955.731103,640.8159023,452.1136711,163.0184206,1457.740966,368.891611,303.7925462,61.78207373,157.445551,660.7701158,635.6929291,138.2264844,1591.065014,742.7912739,1186.645566,373.3517372,498.6319257,226.9086526,190.0464911,56.76052283,81.10353228,225.3783997,183.6441986,62.74477213,121.809679
14,950,885.0813581,726.3392533,284.5184597,2724.908449,871.4070227,716.967856,285.8750095,516.2506205,1004.395523,718.9578025,268.5759661,2025.403328,618.3636524,434.7650812,94.506247,188.8950688,1019.787328,979.4534529,211.3248143,2955.73139,664.8867968,469.1648229,163.0190414,1457.740964,391.4295471,320.5654183,61.78270799,157.4782431,686.1260393,660.9524538,138.2270237,1591.070282,762.5490444,1207.259251,374.1042682,503.3000534,240.8215509,202.0064933,56.77660858,81.67283291,239.1741314,195.2454425,62.79389172,124.6688662
15,1023,915.8399204,747.1115118,284.5192988,2724.908429,902.5234437,737.1204697,285.8758447,516.3235394,1030.084606,742.9836465,268.5764498,2025.403492,650.0256948,456.2131213,94.50698543,188.8954858,1049.819293,1011.920844,211.3255761,2955.731445,686.4205248,485.6785853,163.0196555,1457.740967,412.9578263,336.8772763,61.78334202,157.4965961,708.8717164,684.5350957,138.2275682,1591.072586,779.4796763,1225.073774,374.5941318,506.8618345,254.1179213,213.5606506,56.78531713,82.09828034,252.3553615,206.464589,62.82310802,127.096866
16,1096,943.5867806,767.3258942,284.5201405,2724.908435,930.6841689,756.7579437,285.8766805,516.3686704,1052.44906,766.1401756,268.5769288,2025.403675,679.9897816,477.1084836,94.50772359,188.8956531,1076.389539,1042.347731,211.3263344,2955.731468,705.6845095,501.6719197,163.0202699,1457.740969,433.5216789,352.7408041,61.78397575,157.506904,729.2758525,706.5522023,138.228111,1591.073604,793.98769,1240.46913,374.9130981,509.5794557,266.8250843,224.7227664,56.7900873,82.4162312,264.9494616,217.3142536,62.84049706,129.1586965
17,1169,968.6168273,786.9973772,284.520983,2724.908433,956.1699549,775.8934401,285.8775158,516.3966043,1071.919157,788.4588883,268.5774092,2025.403852,708.3469697,497.4654076,94.50846183,188.895721,1099.897094,1070.862639,211.327093,2955.73147,722.9179928,517.1612252,163.020884,1457.740971,453.1643091,368.1683235,61.78460947,157.5127097,747.5794976,727.107579,138.2286543,1591.074061,806.4197432,1253.773933,375.1208784,511.6528968,278.9691493,235.5061419,56.79272163,82.65384306,276.9825839,227.8065999,62.85086916,130.9095789
18,1242,991.1960756,806.1405434,284.5218252,2724.908434,979.2348897,794.5397925,285.8783513,516.4138822,1088.869481,809.9700519,268.5778897,2025.404032,735.1834332,517.2977705,94.50920007,188.895749,1120.694988,1097.585384,211.3278514,2955.731471,738.3349987,532.1623872,163.0214983,1457.740973,471.926986,383.1718183,61.78524318,157.5159684,763.9988864,746.2982742,138.2291974,1591.074266,817.0729096,1265.272016,375.2563726,513.2347467,290.5750692,245.9236053,56.79420327,82.83139665,288.479716,237.9533741,62.85706462,132.3964058
19,1315,1011.564494,824.7695811,284.5226675,2724.908434,1000.108926,812.7095214,285.8791867,516.4245769,1103.626134,830.7028767,268.5783702,2025.40421,760.5807248,536.6190898,94.5099383,188.8957608,1139.09556,1122.628576,211.3286099,2955.731472,752.1269911,546.6908166,163.0221125,1457.740975,489.8491298,397.7629612,61.7858769,157.5177985,778.7279925,764.2149111,138.2297406,1591.074357,826.2017158,1275.208674,375.3448693,514.4417927,301.6666909,255.9875758,56.79506137,82.96411138,299.4647326,247.7659596,62.86078824,133.6589806
