"","length","c.k1...0.00657646090905313..k2...0.18942180861983..k3...0.0000000000000000000000503484494264539..","c.k1...6.090999323618..k2...0.0411566481066361..k3...0.00000000237938346585934..","c.k1...0.179174764739874..k2...0.0123116615882376..k3...0.00000000000407838092207074..","c.k1...7.99701825287084..k2...0.0155445457481348..k3...0.000000000000000108890090580664..","c.k1...6.41604643958824..k2...0.0383963963076013..k3...0.0000000000346530236505573..","c.k1...0.296651791345626..k2...0.00790499858235913..k3...0.0000000000000685624294297923..","c.k1...6.25371347862833..k2...0.0110300351586399..k3...0.0000000000000468015232860069..","c.k1...0.0389960677476039..k2...0.00370549207779324..k3...0.00000000000000000000000000863972904195165..","c.k1...0.0234705665226323..k2...0.00399039060434242..k3...0.00000000200576313927572..","c.k1...0.0373166414965937..k2...0.00223938963041622..k3...0.00000000035000715549821.."
"k1",8.43569267909329,0.00657646090905313,6.090999323618,0.179174764739874,7.99701825287084,6.41604643958824,0.296651791345626,6.25371347862833,0.0389960677476039,0.0234705665226323,0.0373166414965937
"k2",0.0468159805792961,0.18942180861983,0.0411566481066361,0.0123116615882376,0.0155445457481348,0.0383963963076013,0.00790499858235913,0.0110300351586399,0.00370549207779324,0.00399039060434242,0.00223938963041622
"k3",0.00000000000344114815311865,0.0000000000000000000000503484494264539,0.00000000237938346585934,0.00000000000407838092207074,0.000000000000000108890090580664,0.0000000000346530236505573,0.0000000000000685624294297923,0.0000000000000468015232860069,0.00000000000000000000000000863972904195165,0.00000000200576313927572,0.00000000035000715549821
"gam1",0.0101666656657858,0.0818685130281824,0.00990164393747278,0.019028160401068,0.0107374004881804,0.00959553017026959,0.0125443596401923,0.0100947716138065,0.0117200991411602,0.0161582769447011,0.00945370942885193
"gam2",0.0855229727693924,0.0731527309820464,0.13445271901059,0.0702005991651731,0.145590378238666,0.106899017007601,0.086917231307944,0.164432753788908,0.574372077581447,0.137297225767141,0.251956624141833
