"","1P","2PS","2PP","3PP"
"DASE_C",13.4021172413851,5.40168529682539,2.00854015921381,5.28849629412949
"DASE_O",0,0,0,0
"AD_S",0,0,0,0
"POET_S",0,0,0,0
"NREL_S",0,0,0,0
"AD_N",0,0,0,0
"POET_N",0,0,0,0
"NREL_N",0,0,0,0
"CS_N",0,0,0,0
"GWC16",0,0,0,0
"GWC20",0,0,0,0
