"","1P","2PS","2PP","3PP"
"DASE_C",0.72590226627883,0.994494302001894,0.939785643782608,0.891551840172965
"DASE_O",0,0,0,0
"AD_S",0,0,0,0
"POET_S",0,0,0,0
"NREL_S",0,0,0,0
"AD_N",0,0,0,0
"POET_N",0,0,0,0
"NREL_N",0,0,0,0
"CS_N",0,0,0,0
"GWC16",0,0,0,0
"GWC20",0,0,0,0
