"","colour","x","y","ymin","ymax","se","flipped_aes","group","PANEL","fill","size","linetype","weight","alpha"
"1","#F8766D",0,94.8087813626338,76.0677242916366,113.549838433631,9.53856962175017,FALSE,1,"1","grey60",1,1,1,0.4
"2","#F8766D",1.26329113924051,94.8450097939695,77.6125770575015,112.077442530438,8.77073042284808,FALSE,1,"1","grey60",1,1,1,0.4
"3","#F8766D",2.52658227848101,94.8799289025845,79.0551113412993,110.70474646387,8.05430149900194,FALSE,1,"1","grey60",1,1,1,0.4
"4","#F8766D",3.78987341772152,94.9134918126527,80.388909642496,109.438073982809,7.39252528456757,FALSE,1,"1","grey60",1,1,1,0.4
"5","#F8766D",5.05316455696203,94.945651648348,81.6072306784211,108.284072618275,6.78880900815112,FALSE,1,"1","grey60",1,1,1,0.4
"6","#F8766D",6.31645569620253,94.9763615338443,82.7033170828514,107.249405984837,6.24656808434773,FALSE,1,"1","grey60",1,1,1,0.4
"7","#F8766D",7.57974683544304,95.0055745933155,83.6709346630763,106.340214523555,5.76895164997773,FALSE,1,"1","grey60",1,1,1,0.4
"8","#F8766D",8.84303797468355,95.0332439509355,84.5051922501312,105.56129565174,5.35842528780922,FALSE,1,"1","grey60",1,1,1,0.4
"9","#F8766D",10.1063291139241,95.0593227308783,85.2036174278227,104.915028033934,5.01622351655566,FALSE,1,"1","grey60",1,1,1,0.4
"10","#F8766D",11.3696202531646,95.0837640573177,85.7673249965299,104.400203118105,4.74175508198209,FALSE,1,"1","grey60",1,1,1,0.4
"11","#F8766D",12.6329113924051,95.1065190081932,86.2019729171224,104.011065099264,4.53211537204089,FALSE,1,"1","grey60",1,1,1,0.4
"12","#F8766D",13.8962025316456,95.1274994348909,86.5187969921064,103.736201877675,4.38154087532807,FALSE,1,"1","grey60",1,1,1,0.4
"13","#F8766D",15.1594936708861,95.1467592433154,86.7320562332257,103.561462253405,4.28280166929887,FALSE,1,"1","grey60",1,1,1,0.4
"14","#F8766D",16.4227848101266,95.1644099478724,86.8569697990623,103.471850096683,4.22820846965873,FALSE,1,"1","grey60",1,1,1,0.4
"15","#F8766D",17.6860759493671,95.1805630629675,86.9091244072139,103.452001718721,4.20988491689935,FALSE,1,"1","grey60",1,1,1,0.4
"16","#F8766D",18.9493670886076,95.1953301030062,86.9036410631074,103.487019142905,4.22019168339095,FALSE,1,"1","grey60",1,1,1,0.4
"17","#F8766D",20.2126582278481,95.2088225823942,86.8545337024418,103.563111462347,4.25205290287283,FALSE,1,"1","grey60",1,1,1,0.4
"18","#F8766D",21.4759493670886,95.2211520155371,86.7743245692391,103.667979461835,4.29915193012838,FALSE,1,"1","grey60",1,1,1,0.4
"19","#F8766D",22.7392405063291,95.2324299168406,86.6738921225876,103.790967711094,4.35600875135263,FALSE,1,"1","grey60",1,1,1,0.4
"20","#F8766D",24.0025316455696,95.2427678007102,86.5624799755921,103.923055625828,4.41797543452625,FALSE,1,"1","grey60",1,1,1,0.4
"21","#F8766D",25.2658227848101,95.2520220451488,86.4505379729767,104.053506117321,4.47966026030953,FALSE,1,"1","grey60",1,1,1,0.4
"22","#F8766D",26.5291139240506,95.2577475016816,86.368863725798,104.146631277565,4.52414377880127,FALSE,1,"1","grey60",1,1,1,0.4
"23","#F8766D",27.7924050632911,95.2598860571741,86.3112796370279,104.20849247732,4.55454060210401,FALSE,1,"1","grey60",1,1,1,0.4
"24","#F8766D",29.0556962025316,95.2591684789471,86.2579972158046,104.26033974209,4.58129434457847,FALSE,1,"1","grey60",1,1,1,0.4
"25","#F8766D",30.3189873417722,95.2563255343212,86.1914806308268,104.321170437816,4.61370209240538,FALSE,1,"1","grey60",1,1,1,0.4
"26","#F8766D",31.5822784810127,95.2520879906169,86.1016629321626,104.402513049071,4.65725952159593,FALSE,1,"1","grey60",1,1,1,0.4
"27","#F8766D",32.8455696202532,95.2471866151551,85.9890276375747,104.505345592735,4.71209247388429,FALSE,1,"1","grey60",1,1,1,0.4
"28","#F8766D",34.1088607594937,95.2423521752562,85.8652925134423,104.61941183707,4.77260893516709,FALSE,1,"1","grey60",1,1,1,0.4
"29","#F8766D",35.3721518987342,95.238315438241,85.7518253338895,104.724805542593,4.82830536098392,FALSE,1,"1","grey60",1,1,1,0.4
"30","#F8766D",36.6354430379747,95.2358071714301,85.676366239968,104.795248102892,4.86543488578724,FALSE,1,"1","grey60",1,1,1,0.4
"31","#F8766D",37.8987341772152,95.2353400276154,85.6723050666306,104.7983749886,4.86726412629883,FALSE,1,"1","grey60",1,1,1,0.4
"32","#F8766D",39.1620253164557,95.2353397375641,85.7743274103973,104.696352064731,4.81533802672078,FALSE,1,"1","grey60",1,1,1,0.4
"33","#F8766D",40.4253164556962,95.2353385608144,85.9338447973517,104.536832324277,4.73414842679111,FALSE,1,"1","grey60",1,1,1,0.4
"34","#F8766D",41.6886075949367,95.2353367464004,86.0868160076668,104.383857485134,4.65629028671394,FALSE,1,"1","grey60",1,1,1,0.4
"35","#F8766D",42.9518987341772,95.2353345433563,86.1795142683492,104.291154818363,4.60910885912028,FALSE,1,"1","grey60",1,1,1,0.4
"36","#F8766D",44.2151898734177,95.2353322007162,86.18077661849,104.289887782942,4.60846517290261,FALSE,1,"1","grey60",1,1,1,0.4
"37","#F8766D",45.4784810126582,95.2353299675142,86.0901822311955,104.380477703833,4.65457354158868,FALSE,1,"1","grey60",1,1,1,0.4
"38","#F8766D",46.7417721518987,95.2353280927847,85.9381690603647,104.532487125205,4.73194219404308,FALSE,1,"1","grey60",1,1,1,0.4
"39","#F8766D",48.0050632911392,95.2353268255616,85.7780244965682,104.692629154555,4.81344976205466,FALSE,1,"1","grey60",1,1,1,0.4
"40","#F8766D",49.2683544303798,95.2353264148793,85.6736839043347,104.796968925424,4.8665554157166,FALSE,1,"1","grey60",1,1,1,0.4
"41","#F8766D",50.5316455696203,95.2353267957575,85.6837390839905,104.786914507525,4.86143786029755,FALSE,1,"1","grey60",1,1,1,0.4
"42","#F8766D",51.7949367088608,95.2353267639381,85.8011871267102,104.669466401166,4.80166072864018,FALSE,1,"1","grey60",1,1,1,0.4
"43","#F8766D",53.0582278481013,95.2353262607554,85.9656040360289,104.505048485482,4.71797777894147,FALSE,1,"1","grey60",1,1,1,0.4
"44","#F8766D",54.3215189873418,95.2353253890307,86.1149707837628,104.355679994299,4.64195466925005,FALSE,1,"1","grey60",1,1,1,0.4
"45","#F8766D",55.5848101265823,95.2353242515853,86.1988635678551,104.271784935315,4.59925547632845,FALSE,1,"1","grey60",1,1,1,0.4
"46","#F8766D",56.8481012658228,95.2353229512405,86.189945962144,104.280699940337,4.60379357677733,FALSE,1,"1","grey60",1,1,1,0.4
"47","#F8766D",58.1113924050633,95.2353215908178,86.0911038675924,104.379539314043,4.65410019610946,FALSE,1,"1","grey60",1,1,1,0.4
"48","#F8766D",59.3746835443038,95.2353202731383,85.9346588847908,104.535981661486,4.73372477576881,FALSE,1,"1","grey60",1,1,1,0.4
"49","#F8766D",60.6379746835443,95.2353191010235,85.7740916620546,104.696546539992,4.8154475114149,FALSE,1,"1","grey60",1,1,1,0.4
"50","#F8766D",61.9012658227848,95.2353181772947,85.6722274053484,104.798408949241,4.86729253220683,FALSE,1,"1","grey60",1,1,1,0.4
