"","1P"
"DASE_C",13.6246294282392
"DASE_O",13.567507038645
"AD_S",14.0667510494181
"POET_S",9.46818000723353
"NREL_S",12.7286598956079
"AD_N",11.9990733335194
"POET_N",6.67830299994116
"NREL_N",10.0406487407811
"CS_N",6.12514849815343
"GWC16",1.27741070356069
"GWC20",0.60479492669872
