,Num,time,cummCO2
1,1,0,7.850877341
2,1,1.284722222,22.70437662
3,1,4.364583333,55.07340184
4,1,5.34375,61.49601796
5,1,6.395833333,66.61474776
6,1,7.333333333,70.39560518
7,1,8.333333333,74.08810061
8,1,11.375,83.31798134
9,1,13.04166667,87.17334242
10,1,14.46875,89.88528299
11,1,15.39583333,91.48801848
12,1,19.125,96.88237356
13,1,22.13541667,100.4247974
14,1,26.04166667,104.2200308
15,1,28.97916667,106.6759443
16,1,31.97916667,108.8916533
17,1,36.07291667,111.5985529
18,1,40.07291667,113.9900488
19,1,46.08333333,117.1839391
20,1,63.08333333,124.9351144
21,1,69.34375,127.2605963
22,1,76.0625,129.4483778
23,1,82.08333333,131.3119741
24,1,94.125,134.7487471
25,1,98.02083333,135.807842
26,1,112.0208333,139.5025474
27,1,119.2291667,141.2563553
28,1,126.25,142.9124303
29,1,133.3263889,144.5678638
30,3,0,5.365214558
31,3,1.284722222,17.99541659
32,3,4.364583333,50.10689493
33,3,5.34375,57.72385242
34,3,6.395833333,64.75602428
35,3,7.333333333,70.78104335
36,3,8.333333333,76.95747842
37,3,11.375,92.39367329
38,3,13.04166667,98.90942779
39,3,14.46875,103.7378371
40,3,15.39583333,106.8053294
41,3,19.125,117.2753725
42,3,22.13541667,123.6410664
43,3,26.04166667,130.6146899
44,3,28.97916667,135.3449131
45,3,31.97916667,139.5954788
46,3,36.07291667,144.8500986
47,3,40.07291667,149.3925721
48,3,46.08333333,155.1076419
49,3,63.08333333,167.6592352
50,3,69.34375,171.4392493
51,3,76.0625,175.0675617
52,3,82.08333333,178.0010235
53,3,94.125,183.0176131
54,3,98.02083333,184.4749084
55,3,112.0208333,189.3087905
56,3,119.2291667,191.5124616
57,3,126.25,193.523566
58,3,133.3263889,195.4211481
59,4,0,4.299879484
60,4,1.284722222,9.749364924
61,4,4.364583333,18.05979487
62,4,5.34375,20.00842307
63,4,6.395833333,21.96763738
64,4,7.333333333,23.73929991
65,4,8.333333333,25.61269866
66,4,11.375,30.80462534
67,4,13.04166667,33.37222777
68,4,14.46875,35.36135957
69,4,15.39583333,36.52693783
70,4,19.125,40.68139487
71,4,22.13541667,43.50388265
72,4,26.04166667,46.79669515
73,4,28.97916667,49.07018155
74,4,31.97916667,51.18669112
75,4,36.07291667,53.84223778
76,4,40.07291667,56.19228656
77,4,46.08333333,59.37244769
78,4,63.08333333,67.05572508
79,4,69.34375,69.5996524
80,4,76.0625,72.25025277
81,4,82.08333333,74.62403803
82,4,94.125,79.0436142
83,4,98.02083333,80.41490459
84,4,112.0208333,85.85232936
85,4,119.2291667,88.65082473
86,4,126.25,91.23066553
87,4,133.3263889,93.73518036
88,5,0,6.581171885
89,5,1.284722222,19.54977397
90,5,4.364583333,47.34909484
91,5,5.34375,52.52249155
92,5,6.395833333,57.06636623
93,5,7.333333333,60.65103124
94,5,8.333333333,64.1990629
95,5,11.375,73.48608796
96,5,13.04166667,77.8047529
97,5,14.46875,81.21283694
98,5,15.39583333,83.31101922
99,5,19.125,91.17928172
100,5,22.13541667,96.71677823
101,5,26.04166667,103.3621441
102,5,28.97916667,108.1559378
103,5,31.97916667,112.6593015
104,5,36.07291667,118.4652251
105,5,40.07291667,123.70232
106,5,46.08333333,130.391985
107,5,63.08333333,147.359891
108,5,69.34375,153.7266175
109,5,76.0625,160.4150791
110,5,82.08333333,166.4006556
111,5,94.125,177.2524713
112,5,98.02083333,180.5247221
113,5,112.0208333,192.7263193
114,5,119.2291667,198.5804493
115,5,126.25,203.8172525
116,5,133.3263889,208.7399063
117,6,0,4.540464587
118,6,1.284722222,13.12381103
119,6,4.364583333,32.15116417
120,6,5.34375,36.90327034
121,6,5.354166667,35.71261173
122,6,6.395833333,39.80588728
123,6,7.333333333,43.01834784
124,6,8.333333333,46.31414958
125,6,11.375,55.03991811
126,6,13.04166667,59.05461616
127,6,14.46875,62.03259328
128,6,15.39583333,63.74429744
129,6,19.125,69.57687665
130,6,22.13541667,73.32212645
131,6,26.04166667,77.46493555
132,6,28.97916667,80.10820859
133,6,31.97916667,82.45765514
134,6,36.07291667,85.3729765
135,6,40.07291667,87.82128525
136,6,46.08333333,91.02345112
137,6,63.08333333,98.40387745
138,6,69.34375,100.5955694
139,6,76.0625,102.7214803
140,6,82.08333333,104.5536981
141,6,94.125,107.9079745
142,6,98.02083333,108.9145892
143,6,112.0208333,112.5645784
