"","colour","x","y","ymin","ymax","se","flipped_aes","group","PANEL","fill","size","linetype","weight","alpha"
"1","#F8766D",0,527.351747026907,497.622604474456,557.080889579358,15.1311366780018,FALSE,1,"1","grey60",1,1,1,0.4
"2","#F8766D",1.26329113924051,537.554260390287,510.218265018884,564.89025576169,13.9131050101486,FALSE,1,"1","grey60",1,1,1,0.4
"3","#F8766D",2.52658227848101,547.39076737071,522.287687252885,572.493847488535,12.7766260204611,FALSE,1,"1","grey60",1,1,1,0.4
"4","#F8766D",3.78987341772152,556.844969340175,533.804466757233,579.885471923118,11.7268432178044,FALSE,1,"1","grey60",1,1,1,0.4
"5","#F8766D",5.05316455696203,565.900567670682,544.741685493581,587.059449847783,10.7691615259539,FALSE,1,"1","grey60",1,1,1,0.4
"6","#F8766D",6.31645569620253,574.541263734229,555.072399910065,594.010127558394,9.90899885420842,FALSE,1,"1","grey60",1,1,1,0.4
"7","#F8766D",7.57974683544304,582.750758902816,564.770496370652,600.731021434979,9.15135071253807,FALSE,1,"1","grey60",1,1,1,0.4
"8","#F8766D",8.84303797468355,590.512754548441,573.811991692479,607.213517404404,8.50012828168947,FALSE,1,"1","grey60",1,1,1,0.4
"9","#F8766D",10.1063291139241,597.810952043104,582.176739586491,613.445164499718,7.9572898921174,FALSE,1,"1","grey60",1,1,1,0.4
"10","#F8766D",11.3696202531646,604.629052758804,589.850284204281,619.407821313328,7.52189763080182,FALSE,1,"1","grey60",1,1,1,0.4
"11","#F8766D",12.6329113924051,610.950089944364,596.824711685099,625.075468203629,7.18934388007762,FALSE,1,"1","grey60",1,1,1,0.4
"12","#F8766D",13.8962025316456,616.744467150841,603.088388886758,630.400545414923,6.95048591915361,FALSE,1,"1","grey60",1,1,1,0.4
"13","#F8766D",15.1594936708861,622.029470445501,608.681135590332,635.37780530067,6.79385484330566,FALSE,1,"1","grey60",1,1,1,0.4
"14","#F8766D",16.4227848101266,626.841280409089,613.663097796746,640.019463021431,6.70725305727258,FALSE,1,"1","grey60",1,1,1,0.4
"15","#F8766D",17.6860759493671,631.21607762235,618.095004569789,644.33715067491,6.67818620634805,FALSE,1,"1","grey60",1,1,1,0.4
"16","#F8766D",18.9493670886076,635.190042666028,622.03684620897,648.343239123085,6.69453594207123,FALSE,1,"1","grey60",1,1,1,0.4
"17","#F8766D",20.2126582278481,638.799356120868,625.546856857055,652.051855384681,6.74507774087602,FALSE,1,"1","grey60",1,1,1,0.4
"18","#F8766D",21.4759493670886,642.080198567615,628.680904370087,655.479492765143,6.81979143979159,FALSE,1,"1","grey60",1,1,1,0.4
"19","#F8766D",22.7392405063291,645.068750587014,631.492249050202,658.645252123827,6.90998403334977,FALSE,1,"1","grey60",1,1,1,0.4
"20","#F8766D",24.0025316455696,647.80119275981,634.031557825578,661.570827694043,7.00828245646391,FALSE,1,"1","grey60",1,1,1,0.4
"21","#F8766D",25.2658227848101,650.243568598252,636.28167873988,664.205458456625,7.10613376613588,FALSE,1,"1","grey60",1,1,1,0.4
"22","#F8766D",26.5291139240506,651.727438055644,637.626905097214,665.827971014074,7.17669845506809,FALSE,1,"1","grey60",1,1,1,0.4
"23","#F8766D",27.7924050632911,652.236989208817,638.041717570591,666.432260847043,7.22491726629551,FALSE,1,"1","grey60",1,1,1,0.4
"24","#F8766D",29.0556962025316,651.972892149546,637.69423632948,666.251547969613,7.2673570188037,FALSE,1,"1","grey60",1,1,1,0.4
"25","#F8766D",30.3189873417722,651.135816969605,636.756154961697,665.515478977512,7.31876578146314,FALSE,1,"1","grey60",1,1,1,0.4
"26","#F8766D",31.5822784810127,649.926433760767,635.411015022766,664.441852498769,7.38786140487,FALSE,1,"1","grey60",1,1,1,0.4
"27","#F8766D",32.8455696202532,648.545412614807,633.859094389797,663.231730839818,7.47484351313513,FALSE,1,"1","grey60",1,1,1,0.4
"28","#F8766D",34.1088607594937,647.193423623499,632.318491950604,662.068355296394,7.57084143349952,FALSE,1,"1","grey60",1,1,1,0.4
"29","#F8766D",35.3721518987342,646.071136878617,631.022614505184,661.11965925205,7.65919327920908,FALSE,1,"1","grey60",1,1,1,0.4
"30","#F8766D",36.6354430379747,645.379222471934,630.214977408458,660.543467535409,7.71809224801329,FALSE,1,"1","grey60",1,1,1,0.4
"31","#F8766D",37.8987341772152,645.256766674875,630.0868203633,660.42671298645,7.7209939921212,FALSE,1,"1","grey60",1,1,1,0.4
"32","#F8766D",39.1620253164557,645.256143053991,630.248036355457,660.264249752525,7.63862305590878,FALSE,1,"1","grey60",1,1,1,0.4
"33","#F8766D",40.4253164556962,645.246930629655,630.491869962737,660.001991296572,7.50983111098583,FALSE,1,"1","grey60",1,1,1,0.4
"34","#F8766D",41.6886075949367,645.231318319977,630.718920425049,659.743716214905,7.38632389704083,FALSE,1,"1","grey60",1,1,1,0.4
"35","#F8766D",42.9518987341772,645.21149504307,630.846148901432,659.576841184708,7.31147948557321,FALSE,1,"1","grey60",1,1,1,0.4
"36","#F8766D",44.2151898734177,645.189649717046,630.826309771315,659.552989662778,7.31045839912906,FALSE,1,"1","grey60",1,1,1,0.4
"37","#F8766D",45.4784810126582,645.167971260018,630.660923995486,659.675018524549,7.38360060558712,FALSE,1,"1","grey60",1,1,1,0.4
"38","#F8766D",46.7417721518987,645.148648590096,630.400464154151,659.89683302604,7.50633133999524,FALSE,1,"1","grey60",1,1,1,0.4
"39","#F8766D",48.0050632911392,645.133870625393,630.13164913729,660.136092113495,7.63562768114292,FALSE,1,"1","grey60",1,1,1,0.4
"40","#F8766D",49.2683544303798,645.12582628402,629.958088831715,660.293563736326,7.71986975682073,FALSE,1,"1","grey60",1,1,1,0.4
"41","#F8766D",50.5316455696203,645.124982748972,629.973195333266,660.276770164678,7.71175172303017,FALSE,1,"1","grey60",1,1,1,0.4
"42","#F8766D",51.7949367088608,645.124983947625,630.159505689255,660.090462205995,7.61692660928731,FALSE,1,"1","grey60",1,1,1,0.4
"43","#F8766D",53.0582278481013,645.124985295473,630.420324165819,659.829646425127,7.4841794365223,FALSE,1,"1","grey60",1,1,1,0.4
"44","#F8766D",54.3215189873418,645.12498668747,630.657269036233,659.592704338707,7.36358315122554,FALSE,1,"1","grey60",1,1,1,0.4
"45","#F8766D",55.5848101265823,645.124988018569,630.790352207018,659.45962383012,7.29584895734139,FALSE,1,"1","grey60",1,1,1,0.4
"46","#F8766D",56.8481012658228,645.124989183724,630.776209340047,659.4737690274,7.30304779541392,FALSE,1,"1","grey60",1,1,1,0.4
"47","#F8766D",58.1113924050633,645.124990077887,630.619418103234,659.630562052539,7.38284973250803,FALSE,1,"1","grey60",1,1,1,0.4
"48","#F8766D",59.3746835443038,645.124990596011,630.371250334788,659.878730857235,7.50915906876395,FALSE,1,"1","grey60",1,1,1,0.4
"49","#F8766D",60.6379746835443,645.124990633051,630.116542700327,660.133438565775,7.63879673266919,FALSE,1,"1","grey60",1,1,1,0.4
"50","#F8766D",61.9012658227848,645.124990083959,629.954955238849,660.29502492907,7.72103905272185,FALSE,1,"1","grey60",1,1,1,0.4
"51","#F8766D",63.1645569620253,645.129382445971,629.965645345092,660.29311954685,7.71783371208502,FALSE,1,"1","grey60",1,1,1,0.4
"52","#F8766D",64.4278481012658,645.15306723939,630.10730478268,660.198829696099,7.65778857414283,FALSE,1,"1","grey60",1,1,1,0.4
"53","#F8766D",65.6911392405063,645.19150063373,630.3216857961,660.06131547136,7.568237135928,FALSE,1,"1","grey60",1,1,1,0.4
"54","#F8766D",66.9544303797468,645.238098201494,630.557793641789,659.918402761199,7.47178275914568,FALSE,1,"1","grey60",1,1,1,0.4
