,Num,time,cummCO2
1,1,0,7.813730376
2,1,1.284722222,22.55478166
3,1,4.364583333,55.08692168
4,1,5.34375,61.6738193
5,1,6.395833333,66.88806299
6,1,7.333333333,70.69598201
7,1,8.333333333,74.42481126
8,1,11.375,84.03560847
9,1,13.04166667,88.08062624
10,1,14.46875,90.88373684
11,1,15.39583333,92.54282982
12,1,19.125,98.06171742
13,1,22.13541667,101.6754711
14,1,26.04166667,105.4940677
15,1,28.97916667,107.958879
16,1,31.97916667,110.2198716
17,1,36.07291667,112.955066
18,1,40.07291667,115.3557698
19,1,46.08333333,118.5500493
20,1,63.08333333,126.5112682
21,1,69.34375,128.9620144
22,1,76.0625,131.2057053
23,1,82.08333333,133.1220664
24,1,94.125,136.7044552
25,1,98.02083333,137.8148214
26,1,112.0208333,141.7990982
27,1,119.2291667,143.684685
28,1,126.25,145.414617
29,1,133.3263889,147.1642172
30,2,0,7.888024305
31,2,1.284722222,22.85397158
32,2,4.364583333,55.05988199
33,2,5.34375,61.31821661
34,2,6.395833333,66.34143253
35,2,7.333333333,70.09522835
36,2,8.333333333,73.75138996
37,2,11.375,82.6003542
38,2,13.04166667,86.2660586
39,2,14.46875,88.88682914
40,2,15.39583333,90.43320713
41,2,19.125,95.70302969
42,2,22.13541667,99.17412372
43,2,26.04166667,102.9459939
44,2,28.97916667,105.3930095
45,2,31.97916667,107.563435
46,2,36.07291667,110.2420397
47,2,40.07291667,112.6243278
48,2,46.08333333,115.8178288
49,2,63.08333333,123.3589606
50,2,69.34375,125.5591782
51,2,76.0625,127.6910503
52,2,82.08333333,129.5018818
53,2,94.125,132.793039
54,2,98.02083333,133.8008625
55,2,112.0208333,137.2059965
56,2,119.2291667,138.8280255
57,2,126.25,140.4102436
58,2,133.3263889,141.9715104
59,3,0,5.365214558
60,3,1.284722222,17.99541659
61,3,4.364583333,50.10689493
62,3,5.34375,57.72385242
63,3,6.395833333,64.75602428
64,3,7.333333333,70.78104335
65,3,8.333333333,76.95747842
66,3,11.375,92.39367329
67,3,13.04166667,98.90942779
68,3,14.46875,103.7378371
69,3,15.39583333,106.8053294
70,3,19.125,117.2753725
71,3,22.13541667,123.6410664
72,3,26.04166667,130.6146899
73,3,28.97916667,135.3449131
74,3,31.97916667,139.5954788
75,3,36.07291667,144.8500986
76,3,40.07291667,149.3925721
77,3,46.08333333,155.1076419
78,3,63.08333333,167.6592352
79,3,69.34375,171.4392493
80,3,76.0625,175.0675617
81,3,82.08333333,178.0010235
82,3,94.125,183.0176131
83,3,98.02083333,184.4749084
84,3,112.0208333,189.3087905
85,3,119.2291667,191.5124616
86,3,126.25,193.523566
87,3,133.3263889,195.4211481
88,4,0,4.299879484
89,4,1.284722222,9.749364924
90,4,4.364583333,18.05979487
91,4,5.34375,20.00842307
92,4,6.395833333,21.96763738
93,4,7.333333333,23.73929991
94,4,8.333333333,25.61269866
95,4,11.375,30.80462534
96,4,13.04166667,33.37222777
97,4,14.46875,35.36135957
98,4,15.39583333,36.52693783
99,4,19.125,40.68139487
100,4,22.13541667,43.50388265
101,4,26.04166667,46.79669515
102,4,28.97916667,49.07018155
103,4,31.97916667,51.18669112
104,4,36.07291667,53.84223778
105,4,40.07291667,56.19228656
106,4,46.08333333,59.37244769
107,4,63.08333333,67.05572508
108,4,69.34375,69.5996524
109,4,76.0625,72.25025277
