"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"123",8907,1199.21531669577,1198.98306412263,1202.89323031329,1207.42305304629,1280.32826521047,869.182954164722,868.948599094364,907.075979706092,880.870196317963,538.893941750266,533.187074544911
"124",8980,1199.21568830276,1198.98360223085,1202.89323627448,1207.49610098596,1280.32830466162,869.183055810395,869.086495714493,907.076115738012,880.870196808945,538.982947667939,533.273263968616
"125",9053,1199.21602325131,1198.98408885222,1202.89324145663,1207.5651893453,1280.32833950629,869.183146643819,869.218143150667,907.076237566666,880.870197227946,539.067953561061,533.355562457771
"126",9126,1199.21632515772,1198.98452891306,1202.89324596129,1207.63053275428,1280.32837028238,869.183227815111,869.343824602721,907.076346675026,880.870197585517,539.149139195168,533.434145664689
"127",9199,1199.21659728154,1198.98492686835,1202.89324987679,1207.69233420879,1280.32839746494,869.183300352051,869.463810436471,907.076444391238,880.870197890665,539.226676256931,533.509181312037
"128",9272,1199.21684256079,1198.98528674678,1202.89325328097,1207.75078570128,1280.32842147358,869.183365173093,869.578358765325,907.076531904784,880.870198151076,539.300728717234,533.580829550812
"129",9345,1199.21706364363,1198.9856121916,1202.89325623928,1207.80606881722,1280.32844267888,869.183423098992,869.687716005534,907.076610280903,880.870198373309,539.371453177929,533.649243302155
"130",9418,1199.217262917,1198.98590649747,1202.89325881044,1207.85835529918,1280.32846140823,869.183474863198,869.792117406288,907.076680473635,880.87019856296,539.438999203003,533.714568583738
"131",9491,1199.21744253237,1198.98617264379,1202.89326104507,1207.90780758039,1280.32847795075,869.183521121143,869.891787555776,907.076743337426,880.870198724807,539.503509634875,533.77694482141
"132",9564,1199.21760442898,1198.9864133249,1202.89326298721,1207.95457928936,1280.32849256171,869.183562458538,869.986940864326,907.076799637502,880.870198862926,539.565120896468,533.836505146783
"133",9637,1199.21775035474,1198.98663097735,1202.89326467517,1207.99881572712,1280.32850546679,869.183599398793,870.077782025642,907.076850059185,880.870198980795,539.623963279705,533.893376681375
"134",9710,1199.21788188516,1198.98682780454,1202.89326614208,1208.04065431863,1280.32851686463,869.183632409639,870.16450645714,907.076895216245,880.870199081384,539.680161221047,533.947680807933
"135",9783,1199.21800044031,1198.98700579907,1202.89326741694,1208.08022503969,1280.32852693126,869.183661909057,870.247300720334,907.076935658376,880.870199167225,539.733833564643,533.999533429502
"136",9856,1199.21810730017,1198.98716676287,1202.89326852493,1208.11765082073,1280.32853582237,869.183688270562,870.326342922159,907.076971877875,880.870199240482,539.785093813654,534.0490452168
"137",9929,1199.21820361844,1198.98731232545,1202.89326948791,1208.15304792873,1280.32854367996,869.183711827942,870.401803098124,907.077004315634,880.870199302998,539.834050370282,534.096321844428
"138",10002,1199.21829043505,1198.98744396043,1202.89327032624,1208.18652632838,1280.32855061449,869.183732879476,870.473843578084,907.077033366521,880.870199356349,539.880806765016,534.141464216414
"139",10075,1199.2183686873,1198.98756300041,1202.8932710549,1208.21819002369,1280.32855674927,869.183751691721,870.542619335449,907.077059384212,880.870199401878,539.925461875569,534.184568681574
"140",10148,1199.21843922007,1198.9876706505,1202.89327168878,1208.24813738114,1280.32856228442,869.183768502834,870.60827832056,907.077082685403,880.870199440733,539.96811013598,534.225727239156
"141",10221,1199.21850279488,1198.98776800049,1202.89327220119,1208.27646143521,1280.32856678169,869.183783525695,870.670961778963,907.077103553618,880.87019947389,540.008841736318,534.265027735193
"142",10294,1199.21856009811,1198.98785603592,1202.89327264654,1208.30325017743,1280.32857075388,869.183796950619,870.730804555251,907.077122242963,880.870199502187,540.047742813409,534.302554049999
"143",10367,1199.21861174845,1198.98793564799,1202.89327303359,1208.32858682974,1280.3285742623,869.183808947577,870.787935383145,907.077138980635,880.870199526335,540.084895632997,534.338386277195
"144",10440,1199.21865830355,1198.98800764265,1202.89327336999,1208.352550103,1280.3285773611,869.183819668471,870.842477162427,907.077153970306,880.870199546943,540.120378763711,534.372600894656
"145",10513,1199.21870026605,1198.98807274876,1202.89327366236,1208.37521444153,1280.32858009803,869.183829249035,870.894547223318,907.077167394835,880.87019956453,540.154267243219,534.405270927741
"146",10586,1199.21873808901,1198.98813162543,1202.89327391646,1208.3966502544,1280.32858251517,869.183837810577,870.944257578882,907.077179419832,880.870199579538,540.186632736912,534.436466105154
"147",10659,1199.21877218078,1198.98818486868,1202.8932741373,1208.41692413412,1280.32858464975,869.183845461478,870.991715165987,907.077190191935,880.870199592346,540.217543689461,534.466253007764
"148",10732,1199.21880290943,1198.98823301754,1202.89327432924,1208.43609906353,1280.32858653481,869.183852298586,871.037022075349,907.077199845703,880.870199603276,540.247065469555,534.494695210718
"149",10805,1199.21883060675,1198.98827655945,1202.89327449606,1208.4542346115,1280.32858819951,869.183858408469,871.080275771145,907.077208491561,880.870199612603,540.275260508145,534.521853419123
"150",10878,1199.21885557176,1198.9883159352,1202.89327464104,1208.47138711793,1280.32858966961,869.183863868329,871.121569300684,907.07721623474,880.870199620559,540.302188430462,534.547785597617
"151",10951,1199.21887807401,1198.98835154342,1202.89327476705,1208.48760986882,1280.32859096786,869.183868747285,871.160991494565,907.077223169485,880.87019962734,540.327906182117,534.572547094085
"152",11024,1199.21889835644,1198.98838374459,1202.89327487656,1208.50295326177,1280.32859211436,869.183873107248,871.198627157774,907.077229380202,880.870199633111,540.35246814952,534.596190757784
"153",11097,1199.21891663803,1198.9884128647,1202.89327497175,1208.51746496259,1280.32859312683,869.183877003965,871.234557252112,907.077234942483,880.870199638079,540.375926274896,534.618767052146
"154",11170,1199.21893311616,1198.98843919856,1202.89327505447,1208.53119005334,1280.32859402095,869.183880487697,871.268859070364,907.07723992403,880.870199642371,540.398330166127,534.640324162484
"155",11243,1199.21894796876,1198.98846301275,1202.89327512637,1208.5441711724,1280.32859481055,869.183883602595,871.301606402566,907.07724438547,880.870199646077,540.419727201665,534.660908098831
"156",11316,1199.21896135622,1198.98848454837,1202.89327518885,1208.55644864692,1280.32859550785,869.183886409077,871.332869694747,907.077248381114,880.870199649276,540.44016263072,534.680562794145
"157",11389,1199.21897342309,1198.98850402342,1202.89327524316,1208.56806061812,1280.32859612363,869.183888760302,871.362716200471,907.077251959243,880.870199652038,540.459679668953,534.699330198075
"158",11462,1199.21898429963,1198.98852163508,1202.89327529036,1208.57904315976,1280.32859666744,869.183890861314,871.391210125511,907.077255195999,880.870199654423,540.478319589864,534.717250366494
"159",11535,1199.21899410326,1198.98853756166,1202.89327533138,1208.58943039021,1280.32859714767,869.183892738601,871.418412765972,907.077257911976,880.870199656482,540.496121812078,534.734361546996
"160",11608,1199.21900293982,1198.98855196437,1202.89327536704,1208.59925457845,1280.32859757177,869.183894416013,871.444382640146,907.077260344068,880.87019965826,540.513123982703,534.750700260522
