"","Num","time","cummCO2"
"1","1",0,0.751198813100964
"2","1",3.29166666666667,2.24589719668035
"3","1",6.125,3.43377567317941
"4","1",9.16666666666667,4.67299712619411
"5","1",12.2152777777778,5.87711686711913
"6","1",16.1805555555556,7.24330448966794
"7","1",22.125,9.09100945070313
"8","1",25.0972222222222,9.96891238009287
"9","1",28.2638888888889,10.8520358200563
"10","1",34.2104166666667,12.6214202754463
"11","1",39.0604166666667,14.1221563904783
"12","1",62.3854166666667,22.620245617747
"13","1",70.3125,25.4959387102578
"14","1",77.3958333333333,27.4064353763899
"15","1",87.0972222222222,30.1562996786803
"16","1",92.3125,31.6833354509795
"17","1",99.3333333333333,33.4293884996359
"18","1",114.010416666667,37.3911763006429
"19","1",131.302083333333,41.8321636312575
"20","1",146.083333333333,45.2182524591508
"21","1",161.1875,48.6214252144597
"22","1",172.013194444444,50.766380682073
"23","1",187.25,53.7690924355031
"24","1",202.048611111111,56.6517719923359
"25","1",216,59.3550585013229
"26","1",238.135416666667,63.424254722859
"27","1",265.104166666667,68.381525061525
"28","2",0,5.16867694505688
"29","2",3.29166666666667,16.1156613971878
"30","2",6.125,23.7449002900303
"31","2",9.20833333333333,32.0785025220731
"32","2",12.2152777777778,40.9227512069736
"33","2",16.1805555555556,53.0092667824337
"34","2",22.125,70.0776056096005
"35","2",25.0972222222222,77.8293957029599
"36","2",28.2638888888889,85.6036559044979
"37","2",34.2104166666667,99.4068215277896
"38","2",39.0604166666667,109.405089684115
"39","2",62.3854166666667,155.093537082824
"40","2",70.3125,169.841774466279
"41","2",77.3958333333333,180.798297025885
"42","2",87.0972222222222,195.255196100565
"43","2",92.3125,203.113491748948
"44","2",99.3333333333333,212.705317992752
"45","2",114.010416666667,237.835959906164
"46","2",131.302083333333,267.090564917101
"47","2",146.083333333333,284.390435381688
"48","2",161.1875,299.068253367861
"49","2",172.013194444444,309.03788870395
"50","2",187.25,324.179985678635
"51","2",202.048611111111,338.758119004089
"52","2",216,351.805765775705
"53","2",238.135416666667,370.980943164244
"54","2",265.104166666667,394.72387457727
"55","3",0,3.44313203627728
"56","3",3.29166666666667,9.72377860896185
"57","3",6.125,14.7482194670302
"58","3",9.20833333333333,20.2976156095441
"59","3",12.2152777777778,25.9414222792318
"60","3",16.1805555555556,33.2700366606947
"61","3",22.125,43.6791840256848
"62","3",25.0972222222222,48.5971812019768
"63","3",28.2638888888889,53.5440084740797
"64","3",34.2104166666667,62.3995261383053
"65","3",39.0604166666667,69.0061215496333
"66","3",62.3854166666667,96.4060644759597
"67","3",70.3125,103.700750367003
"68","3",77.3958333333333,108.830037026593
"69","3",87.0972222222222,115.488432091037
"70","3",92.3125,118.820245605582
"71","3",99.3333333333333,122.64660026655
"72","3",114.010416666667,131.728123904725
"73","3",131.302083333333,142.764040705622
"74","3",146.083333333333,150.526163274238
"75","3",161.1875,157.479197650167
"76","3",172.013194444444,162.163085101017
"77","3",187.25,168.874530260675
"78","3",202.048611111111,175.151284097835
"79","3",216,180.854996895999
"80","3",238.135416666667,189.214912182481
"81","3",265.104166666667,199.431750052701
"82","4",0,6.61929074919119
"83","4",3.29166666666667,21.797152741197
"84","4",6.125,31.8970902515744
"85","4",9.20833333333333,40.9885063163475
"86","4",12.2152777777778,49.2272108878015
"87","4",16.1805555555556,59.1833979332704
"88","4",22.125,72.5970010319426
"89","4",25.0972222222222,78.7276339038314
"90","4",28.2638888888889,84.763337577137
"91","4",34.2104166666667,95.5215549157263
"92","4",39.0604166666667,103.724094354132
"93","4",62.3854166666667,142.304594138976
"94","4",70.3125,154.078244405919
"95","4",77.3958333333333,162.578932840187
"96","4",87.0972222222222,174.038750681716
"97","4",92.3125,180.175284780042
"98","4",99.3333333333333,187.419593228564
"99","4",114.010416666667,206.135344422085
"100","4",131.302083333333,229.486112069161
"101","4",146.083333333333,245.656158824099
"102","4",161.1875,260.25442074204
"103","4",172.013194444444,270.080923991529
"104","4",187.25,284.592188159727
"105","4",202.048611111111,298.31438495188
"106","4",216,311.257706461892
"107","4",238.135416666667,331.005513124207
"108","4",265.104166666667,353.648934856118
"109","5",0,8.64930676053807
"110","5",3.29166666666667,25.8187752693892
"111","5",6.125,34.0378648612335
"112","5",9.20833333333333,40.0453313021966
"113","5",12.2152777777778,44.4486537461231
"114","5",16.1805555555556,49.2028327870043
"115","5",22.125,54.7332274205196
"116","5",25.0972222222222,56.917560401962
"117","5",28.2638888888889,58.9580559795897
"118","5",34.2104166666667,62.4735589258024
"119","5",39.0604166666667,65.1762288007801
"120","5",62.3854166666667,78.3743133985357
"121","5",70.3125,82.4974369675679
"122","5",77.3958333333333,85.432621398044
"123","5",87.0972222222222,89.1052801883053
"124","5",92.3125,90.931500519561
"125","5",99.3333333333333,93.081306449386
"126","5",114.010416666667,98.3180798000282
"127","5",131.302083333333,104.469091385712
"128","5",146.083333333333,108.76740613417
"129","5",161.1875,112.724738128927
"130","5",172.013194444444,115.280905184418
"131","5",187.25,118.899075770575
"132","5",202.048611111111,122.32122846725
"133","5",216,125.457702081788
"134","5",238.135416666667,130.242281171368
"135","5",265.104166666667,135.949058171754
