"","length","c.k2...2.60444023434257..alpha21...0.104497149389105.","c.k2...2.58368689758455..alpha21...0.99804282358285.","c.k2...2.63282523096462..alpha21...0.996087724368639.","c.k2...2.59974769936899..alpha21...0.999164507691404.","c.k2...2.56227947197745..alpha21...0.99874198527861.","c.k2...2.69833590931044..alpha21...0.999782936672482.","c.k2...2.59568071153399..alpha21...0.996433203139371.","c.k2...2.68193336983904..alpha21...0.997473927654291.","c.k2...2.66795108119635..alpha21...0.000173610952035552."
"k2",2.60232965588313,2.60444023434257,2.58368689758455,2.63282523096462,2.59974769936899,2.56227947197745,2.69833590931044,2.59568071153399,2.68193336983904,2.66795108119635
"alpha21",0.106725284626585,0.104497149389105,0.99804282358285,0.996087724368639,0.999164507691404,0.99874198527861,0.999782936672482,0.996433203139371,0.997473927654291,0.000173610952035552
