,days,1P,2PS,2PP,3PP,1P.1,2PS.1,2PP.1,3PP.1,1P.2,2PS.2,2PP.2,3PP.2,1P.3,2PS.3,2PP.3,3PP.3,1P.4,2PS.4,2PP.4,3PP.4,1P.5,2PS.5,2PP.5,3PP.5,1P.6,2PS.6,2PP.6,3PP.6,1P.7,2PS.7,2PP.7,3PP.7,1P.8,2PS.8,2PP.8,3PP.8,1P.9,2PS.9,2PP.9,3PP.9,1P.10,2PS.10,2PP.10,3PP
11,10,16.80906748,82.25449515,75.4471573,73.83893851,16.28130104,81.21993931,74.83532232,80.76269856,22.6218489,85.11609412,76.92291203,79.79251847,9.092503577,29.10134423,22.96771906,28.99695693,21.30051637,71.73074544,52.58358212,64.79577264,13.16129002,52.13215221,46.65833214,48.1897779,5.457588314,17.1196657,11.31505678,16.13631427,13.39900973,38.72779194,26.97809794,35.46374853,18.43805445,24.87972293,21.48749678,21.73838579,3.347850889,5.007245338,4.598064545,4.733237402,3.329579266,4.650015021,4.331057579,4.561121273
12,11,18.4769609,85.54067678,80.02422616,76.77613232,17.89722143,84.35435832,79.28112271,83.64206573,24.86050175,90.23714247,82.53310106,84.11358692,9.997983688,30.92265528,24.89436748,30.54384081,23.41097942,75.2652028,56.95961993,67.25702185,14.46640785,55.08082259,50.01569453,50.57380861,6.001464925,18.0943892,12.32228978,16.83228502,14.72797616,40.76382049,29.35591054,36.9290096,20.26049846,26.59209935,23.5674147,23.80895915,3.681494131,5.456456472,5.036864712,5.177730718,3.661395568,5.079524145,4.747395732,4.983605155
13,12,20.1425016,88.3955663,84.22651275,79.57895943,19.510934,87.0649395,83.34913774,86.12456314,27.09490848,94.94648392,87.84244859,88.26039687,10.90278037,32.61364334,26.76179665,31.97633588,25.51790477,78.45794619,61.1953024,69.68027415,15.76953587,57.76875345,53.18584708,52.86802719,6.545000173,18.99201713,13.3087612,17.48680495,16.05496632,42.62852517,31.68064723,38.37818733,22.07909135,28.30104997,25.63511061,25.86263846,4.01493028,5.897717638,5.47197327,5.617373286,3.993004821,5.503315183,5.16077154,5.400756131
14,13,21.8056929,90.88378332,88.08470542,82.25359933,21.12244177,89.41710001,87.07147019,88.27803577,29.32507715,99.2810575,92.86708657,92.24000308,11.80689414,34.18636984,28.57182673,33.31150123,27.62129835,81.35586682,65.29513143,72.06614792,17.07067709,60.22204492,56.17922847,55.0758277,7.088194274,19.82165748,14.27489896,18.10943431,17.37998315,44.3456054,33.95349275,39.81147211,23.89384128,30.00658932,27.69065633,27.89983942,4.348159465,6.331338285,5.903421277,6.052255885,4.324407153,5.921554451,5.571206081,5.812746856
15,14,23.46653813,93.0602535,91.62697984,84.80590032,22.73174776,91.46615634,90.47749515,90.15860645,31.55101578,103.274486,97.62228229,96.05914282,12.71032551,35.6517785,30.32622205,34.56361858,29.72116609,83.99941021,69.2634644,74.41522882,18.36983455,62.46418365,59.00569562,57.20046092,7.63104744,20.59134001,15.22112221,18.70728276,18.70302957,45.93546632,36.17560534,41.22903417,25.70475637,31.70872223,29.73412326,29.9209627,4.681181814,6.757615604,6.331239527,6.482467274,4.655602693,6.334403337,5.978720284,6.219743707
16,15,25.12504059,94.97167378,94.87920401,87.2414661,24.33885497,93.25888385,93.59409089,91.81272178,33.77273241,106.9573734,102.1224844,99.7242901,13.613075,37.01979893,32.02669268,35.74464781,31.81751389,86.42345544,73.10451883,76.72807717,19.66701127,64.51630318,61.67455589,59.24506208,8.173559887,21.30814442,16.14784144,19.2856513,20.02410853,47.41568011,38.34811747,42.63104617,27.5118447,33.4074557,31.76558236,31.92639449,5.013997456,7.176835089,6.755458559,6.908094241,4.986591572,6.742018439,6.383334926,6.621907018
17,16,26.78120358,96.65774208,97.86512782,89.5656345,25.9437664,94.83483592,96.44585163,93.27881654,35.99023503,110.3575763,106.3813668,103.2416559,14.51514311,38.29944081,33.67489611,36.86460717,33.91034766,88.65808132,76.822377,79.00525206,20.96221028,66.39742016,64.19459767,61.21264552,8.715731827,21.97831295,17.05545867,19.84848896,21.34322294,48.80137718,40.47213629,44.01767899,29.31511438,35.10279644,33.78510421,33.91650705,5.346606518,7.589270949,7.176108653,7.329221646,5.317373916,7.144551723,6.785070639,7.0193913
18,17,28.4350304,98.15220785,100.6065567,91.78350897,27.54648506,96.22745988,99.05528204,94.58869828,38.20353165,113.5004502,110.41187,106.617197,15.41653038,39.49887914,35.27243887,37.93188996,35.99967328,90.72922711,80.42099025,81.24730279,22.25543459,68.12464685,66.57411923,63.10611601,9.257563475,22.60734927,17.94436765,20.3987337,22.66037573,50.10558553,42.54874422,45.38910122,31.11457348,36.79475124,35.79275895,35.89165927,5.679009129,7.995186551,7.593219834,7.745932464,5.647949856,7.542150649,7.183947908,7.412345459
19,18,30.08652436,99.48376474,103.1235107,93.89995377,29.14701394,97.46503867,101.4429744,95.76869273,40.41263024,116.4090741,114.2262408,109.8566323,16.31723731,40.62553146,36.82087813,38.95353348,38.08549663,92.65926249,83.90418322,83.45477139,23.54668721,69.71338174,68.82095615,64.92826589,9.799055044,23.20010577,18.81495402,20.9385794,23.97556981,51.33952314,44.57899956,46.74547975,32.91023003,38.48332687,37.78861632,37.85219711,6.011205418,8.394834862,8.006821875,8.158307834,5.978319521,7.934958303,7.579987071,7.800912992
20,19,31.73568873,100.6768022,105.4343704,95.91959572,30.74535603,98.57148895,103.6277713,96.84058073,42.61753877,119.104455,117.836069,112.9654494,17.2172644,41.68612802,38.32172317,39.935441,40.1678236,94.46747896,87.27565784,85.6281912,24.83597114,71.17748094,70.94250709,66.68177662,10.34020675,23.7608607,19.66759544,21.46966589,25.28880809,52.51284938,46.56393695,48.08697959,34.70209209,40.16853007,39.77274563,39.79845417,6.343195512,8.78845886,8.416944299,8.566427095,6.308483038,8.323113532,7.973208322,8.185232193
