"","length","c.k1...0.16769956715173..k2...0.000354719638371845..alpha21...0.780256272939372..","c.k1...0.0940700774287569..k2...0.000504840909395815..alpha21...0.291495031820446..","c.k1...0.0972321110491471..k2...0.000357616228249994..alpha21...0.92835663327336..","c.k1...0.148056889264164..k2...0.000889186542416587..alpha21...0.886899618615333..","c.k1...0.10553738780767..k2...0.000438659885216976..alpha21...0.887496007943196..","c.k1...0.125931471966624..k2...0.000381777043867639..alpha21...0.94835082897843..","c.k1...0.149596211870721..k2...0.000941038445040485..alpha21...0.912375193646105..","c.k1...2.98690222432131..k2...0.00199919968553257..alpha21...0.920592498277363..","c.k1...0.0403075140638396..k2...0.000472902083141154..alpha21...0.959509526758984..","c.k1...0.0300972553623072..k2...0.000458763106196125..alpha21...0.945625320756056.."
"k1",0.162356732494589,0.16769956715173,0.0940700774287569,0.0972321110491471,0.148056889264164,0.10553738780767,0.125931471966624,0.149596211870721,2.98690222432131,0.0403075140638396,0.0300972553623072
"k2",0.00037293511036092,0.000354719638371845,0.000504840909395815,0.000357616228249994,0.000889186542416587,0.000438659885216976,0.000381777043867639,0.000941038445040485,0.00199919968553257,0.000472902083141154,0.000458763106196125
"alpha21",0.895407198392839,0.780256272939372,0.291495031820446,0.92835663327336,0.886899618615333,0.887496007943196,0.94835082897843,0.912375193646105,0.920592498277363,0.959509526758984,0.945625320756056
"gamma",0.79173347056159,0.363634708210933,0.153769279554549,0.486219601851377,0.573349130922773,0.789179443823472,0.455482006330398,0.531173715367196,0.0888605528871996,0.477067388454156,0.405374740753711
